Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,logSalePrice,encBsmtCond,encBsmtExposure,encBsmtQual,encCentralAir,encExterCond,encExterQual,encFireplaceQu,encGarageFinish,encGarageQual,encHeatingQC,encKitchenQual,encLotShape,encPavedDrive,encSaleCondition,clipGrLivArea,logclipGrLivArea,clipGarageArea,sqrGarageCars,Bath,clipTotalBsmtSF,isRecentRemod,RemodAge,isFireplace,encFoundation,encFunctional,encGarageType,encHouseStyle,encNeighborhood,logencNeighborhood,logGarageArea,residuals,encBsmtFinType1,isStone,logLotArea,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,Porch,logTotalBsmtSF
11,20,RL,70.0,11200,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,Null,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,Null,Null,Null,0,2,2008,WD,Normal,129500,11.771443882099636,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,1040,6.947937068614969,384,1,1.0,1040,0,0,0,1.0,0.0,1.0,1.0,135000.0,11.81303746480054,5.953243334287785,0.009791945084611342,3.0,0,9.32375833901174,1,0,0,0,0,0,6.947937068614969
12,60,RL,85.0,11924,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,Null,Null,Null,0,7,2006,New,Partial,345000,12.75130259456002,2.0,1.0,3.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,1.0,2.0,2.0,2324,7.751475318021456,736,9,3.0,1175,1,1,1,2.0,0.0,,2.0,315000.0,12.660331092405906,6.602587892189336,0.07774405207487156,5.0,1,9.386392315756542,1,0,0,0,0,168,7.069874128458572
13,20,RL,,12968,Pave,Null,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,Null,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,Null,Null,Null,0,9,2008,WD,Normal,144000,11.87757552297847,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,912,6.816735880594968,352,1,1.0,912,0,0,0,1.0,0.0,1.0,1.0,135000.0,11.81303746480054,5.8664680569332965,-0.10581171875802475,6.0,0,9.470317173335742,1,0,0,0,0,316,6.816735880594968
14,20,RL,91.0,10652,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,Null,Null,Null,0,8,2007,New,Partial,279500,12.54076114938842,2.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1494,7.309881485824786,840,9,2.0,1494,1,1,1,2.0,0.0,2.0,1.0,197200.0,12.19197879213173,6.734591659972948,-0.12432918779995461,1.0,1,9.273596821611198,1,0,0,0,0,193,7.3098814858247865
15,20,RL,,10920,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,Null,GdWo,Null,0,5,2008,WD,Normal,157000,11.964007453736912,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1253,7.134093721192866,352,1,1.5,1253,0,0,1,1.0,0.0,2.0,1.0,140000.0,11.849404844423074,5.8664680569332965,-0.02735564611932162,4.0,0,9.298442820197728,1,0,0,0,0,213,7.134093721192866
16,45,RM,51.0,6120,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,Null,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,Null,GdPrv,Null,0,7,2007,WD,Normal,132000,11.790564777297387,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,1.0,0.0,2.0,1.0,854,6.75110146893676,576,4,1.0,832,1,72,0,0.0,0.0,1.0,,124300.0,11.730461322518734,6.3578422665081,-0.059927996468335465,1.0,0,8.71948076085107,1,0,0,0,0,160,6.725033642166843
17,20,RL,,11241,Pave,Null,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,Null,Null,Shed,700,3,2010,WD,Normal,149000,11.91170829631447,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,1004,6.912742820493176,480,4,1.0,1004,0,0,1,1.0,0.0,2.0,1.0,140000.0,11.849404844423074,6.175867270105761,0.022280550430808788,6.0,0,9.32741204356202,1,0,0,0,0,0,6.912742820493176
18,90,RL,72.0,10791,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,Null,Null,Null,Null,0,Null,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,Null,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,Null,Null,Shed,500,10,2006,WD,Normal,90000,11.407576060361786,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1296,7.167809184316444,516,4,2.0,0,0,0,0,0.0,0.0,,1.0,135000.0,11.81303746480054,6.248042874508429,0.13286473631305284,0.0,0,9.286560397887591,0,0,1,0,0,0,0.0
19,20,RL,66.0,13695,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,Null,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,Null,Null,Null,0,6,2008,WD,Normal,159000,11.976665770490769,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,4.0,2.0,0.0,2.0,1.0,1114,7.016609683894219,576,4,1.5,1114,1,0,0,2.0,0.0,1.0,1.0,179900.0,12.100161978566868,6.3578422665081,-0.019302520776973253,5.0,0,9.524859098381523,1,0,0,0,0,102,7.016609683894219
20,20,RL,70.0,7560,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,Null,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,Null,MnPrv,Null,0,5,2009,COD,Abnorml,139000,11.842236406331557,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,1339,7.200424892944957,294,1,1.0,1029,0,7,0,1.0,2.0,2.0,1.0,140000.0,11.849404844423074,5.68697535633982,-0.1640714425660441,2.0,0,8.93075873555827,1,0,0,0,0,0,6.937314081223682
21,60,RL,101.0,14215,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,Null,Null,Null,0,11,2006,New,Partial,325300,12.692506186542175,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2376,7.773594467360194,853,9,3.5,1158,1,1,1,2.0,0.0,,2.0,315000.0,12.660331092405906,6.74993119378857,0.028438326289835558,1.0,0,9.562123369834488,1,0,0,0,0,394,7.055312843339752
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,Null,GdPrv,Null,0,6,2007,WD,Normal,139400,11.84510995088398,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,1108,7.011213987350367,280,1,1.0,637,0,20,1,2.0,0.0,2.0,,103000.0,11.542493975902508,5.638354669333745,-0.10020213367744724,1.0,0,8.915969311373605,1,0,0,0,0,0,6.45833828334479
23,20,RL,75.0,9742,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,Null,Null,Null,0,9,2008,WD,Normal,230000,12.345838935721968,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,1795,7.493317248862145,534,4,2.0,1777,1,0,1,2.0,0.0,2.0,1.0,197200.0,12.19197879213173,6.282266746896006,0.053497460016753706,1.0,0,9.184304357425342,1,0,0,0,0,330,7.48324441607385
24,120,RM,44.0,4224,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,Null,Null,Null,0,6,2007,WD,Normal,129900,11.774527900858468,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,1060,6.966967138613983,572,4,1.0,1040,0,0,1,2.0,0.0,2.0,1.0,88000.0,11.38510345703214,6.35088571671474,0.023302343958196303,5.0,0,8.348774539791274,0,0,0,0,1,210,6.947937068614969
25,20,RL,,8246,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,Null,MnPrv,Null,0,5,2010,WD,Normal,154000,11.944714374881176,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1060,6.966967138613983,270,1,1.0,1060,1,33,1,1.0,0.0,2.0,1.0,135000.0,11.81303746480054,5.602118820879701,-0.0028944771527115165,3.0,0,9.017604776833355,1,0,0,0,0,496,6.966967138613983
26,20,RL,110.0,14230,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,Null,Null,Null,0,7,2009,WD,Normal,256300,12.454107814022272,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,1600,7.378383712996714,890,9,2.0,1566,1,0,1,2.0,0.0,2.0,1.0,315000.0,12.660331092405906,6.792344427470809,-0.003911760103806117,1.0,1,9.56317796268366,1,0,0,0,0,56,7.356918242356021
27,20,RL,60.0,7200,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,Null,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,Null,Null,Null,0,5,2010,WD,Normal,134800,11.811554895830454,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,900,6.803505257608338,576,4,1.0,900,1,49,0,1.0,0.0,1.0,1.0,140000.0,11.849404844423074,6.3578422665081,-0.10030750203241823,4.0,0,8.881975184248867,1,0,0,0,0,254,6.803505257608338
28,20,RL,98.0,11478,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,Null,Null,Null,0,5,2010,WD,Normal,306000,12.631343648903034,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,0.0,2.0,1.0,1704,7.4413203897176174,772,9,2.0,1704,1,1,1,2.0,0.0,2.0,1.0,315000.0,12.660331092405906,6.650279048587422,-0.003047614684312805,5.0,1,9.348274558065496,1,0,0,0,0,50,7.4413203897176174
