Id_dropped,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley_dropped,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating_dropped,HeatingQC,CentralAir,Electrical,1stFlrSF_dropped,2ndFlrSF_dropped,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,logSalePrice,logGrLivArea,sqrGarageCars,Bath,FlrSF,RemodAge,RecentRemod,BedroomRatio,hasFireplace,enc_FireplaceQu,logMasVnrArea,enc_ExterQual,Porch,trunLotArea,trunLotFrontage,trunBsmtSF,enc_BsmtQual,enc_CentralAir,hasCircuitBreaker,isPConc,enc_GarageFinish,isGarageAttached,enc_HeatingQC,enc_KitchenQual,isLotRegular,isLowDensity,enc_MasVnrType,enc_PavedDrive,isNewHome
11,20,RL,70.0,11200,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,Null,Detchd,1965.0,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,Null,Null,Null,0,2,2008,WD,Normal,129500,11.771443882099636,6.947937068614969,1,1.0,1040,0,0,0.375,0,0.0,0.0,0.0,0,11200,70.0,1040,1.0,1.0,1,0,1.0,0,2.0,0.0,1,1,0.0,2.0,0
12,60,RL,85.0,11924,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Y,147,21,0,0,0,0,Null,Null,Null,0,7,2006,New,Partial,345000,12.75130259456002,7.751475318021456,9,3.0,2324,1,1,0.26666666666666666,1,1.0,5.659482215759621,2.0,168,11924,85.0,1175,3.0,1.0,1,1,3.0,1,2.0,2.0,0,1,2.0,2.0,1
13,20,RL,,12968,Pave,Null,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,Null,Detchd,1962.0,Unf,1,352,TA,TA,Y,140,0,0,0,176,0,Null,Null,Null,0,9,2008,WD,Normal,144000,11.87757552297847,6.816735880594968,1,1.0,912,0,0,0.3333333333333333,0,0.0,0.0,0.0,140,12968,150.0,912,1.0,1.0,1,0,1.0,0,0.0,0.0,0,1,0.0,2.0,0
14,20,RL,91.0,10652,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Y,160,33,0,0,0,0,Null,Null,Null,0,8,2007,New,Partial,279500,12.54076114938842,7.3098814858247865,9,2.0,1494,1,1,0.3,1,1.0,5.726847747587197,1.0,193,10652,91.0,1494,2.0,1.0,1,1,2.0,1,2.0,1.0,0,1,2.0,2.0,1
15,20,RL,,10920,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Y,0,213,176,0,0,0,Null,GdWo,Null,0,5,2008,WD,Normal,157000,11.964007453736912,7.134093721192866,1,1.5,1253,0,0,0.2857142857142857,1,-1.0,5.3612921657094255,0.0,213,10920,150.0,1253,1.0,1.0,1,0,2.0,1,0.0,0.0,0,1,1.0,2.0,0
16,45,RM,51.0,6120,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,Null,Detchd,1991.0,Unf,2,576,TA,TA,Y,48,112,0,0,0,0,Null,GdPrv,Null,0,7,2007,WD,Normal,132000,11.790564777297387,6.75110146893676,4,1.0,854,72,1,0.2857142857142857,0,0.0,0.0,0.0,160,6120,51.0,832,1.0,1.0,0,0,1.0,0,2.0,0.0,1,0,0.0,2.0,0
17,20,RL,,11241,Pave,Null,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Y,0,0,0,0,0,0,Null,Null,Shed,700,3,2010,WD,Normal,149000,11.91170829631447,6.912742820493176,4,1.0,1004,0,0,0.2857142857142857,1,0.0,5.198497031265826,0.0,0,11241,150.0,1004,1.0,1.0,1,0,3.0,1,2.0,0.0,0,1,1.0,2.0,0
18,90,RL,72.0,10791,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,Null,Null,Null,Null,0,Null,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,Null,CarPort,1967.0,Unf,2,516,TA,TA,Y,0,0,0,0,0,0,Null,Null,Shed,500,10,2006,WD,Normal,90000,11.407576060361786,7.167809184316444,4,2.0,1296,0,0,0.25,0,0.0,0.0,0.0,0,10791,72.0,0,0.0,1.0,1,0,1.0,0,0.0,0.0,1,1,0.0,2.0,0
19,20,RL,66.0,13695,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,Null,Detchd,2004.0,Unf,2,576,TA,TA,Y,0,102,0,0,0,0,Null,Null,Null,0,6,2008,WD,Normal,159000,11.976665770490769,7.016609683894219,4,1.5,1114,0,1,0.3333333333333333,0,0.0,0.0,0.0,102,13695,66.0,1114,1.0,1.0,1,1,1.0,0,2.0,1.0,1,1,0.0,2.0,0
20,20,RL,70.0,7560,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,Null,Attchd,1958.0,Unf,1,294,TA,TA,Y,0,0,0,0,0,0,Null,MnPrv,Null,0,5,2009,COD,Abnorml,139000,11.842236406331557,7.200424892944957,1,1.0,1339,7,0,0.3333333333333333,0,0.0,0.0,0.0,0,7560,70.0,1029,1.0,1.0,1,0,1.0,1,0.0,0.0,1,1,0.0,2.0,0
21,60,RL,101.0,14215,Pave,Null,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Y,240,154,0,0,0,0,Null,Null,Null,0,11,2006,New,Partial,325300,12.692506186542175,7.773594467360194,9,3.5,2376,1,1,0.3076923076923077,1,1.0,5.942799375126701,1.0,394,14215,101.0,1158,3.0,1.0,1,1,2.0,1,2.0,1.0,0,1,1.0,2.0,1
22,45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,N,0,0,205,0,0,0,Null,GdPrv,Null,0,6,2007,WD,Normal,139400,11.84510995088398,7.011213987350367,1,1.0,1108,20,0,0.3333333333333333,1,1.0,0.0,0.0,0,7449,57.0,637,1.0,1.0,0,1,1.0,1,2.0,1.0,1,0,0.0,0.0,0
23,20,RL,75.0,9742,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Y,171,159,0,0,0,0,Null,Null,Null,0,9,2008,WD,Normal,230000,12.345838935721968,7.493317248862145,4,2.0,1795,0,1,0.3,1,1.0,5.641907070938114,1.0,330,9742,75.0,1777,2.0,1.0,1,1,2.0,1,2.0,1.0,1,1,1.0,2.0,0
24,120,RM,44.0,4224,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Y,100,110,0,0,0,0,Null,Null,Null,0,6,2007,WD,Normal,129900,11.774527900858468,6.966967138613983,4,1.0,1060,0,0,0.3333333333333333,1,0.0,0.0,0.0,210,4224,44.0,1040,2.0,1.0,1,1,1.0,1,0.0,0.0,1,0,0.0,2.0,0
25,20,RL,,8246,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Y,406,90,0,0,0,0,Null,MnPrv,Null,0,5,2010,WD,Normal,154000,11.944714374881176,6.966967138613983,1,1.0,1060,33,1,0.3333333333333333,1,0.0,0.0,0.0,496,8246,150.0,1060,1.0,1.0,1,0,1.0,1,2.0,1.0,0,1,0.0,2.0,0
26,20,RL,110.0,14230,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Y,0,56,0,0,0,0,Null,Null,Null,0,7,2009,WD,Normal,256300,12.454107814022272,7.3783837129967145,9,2.0,1600,0,1,0.3,1,1.0,6.46302945692067,1.0,56,14230,110.0,1566,2.0,1.0,1,1,2.0,1,2.0,1.0,1,1,2.0,2.0,0
27,20,RL,60.0,7200,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,Null,Detchd,2005.0,Unf,2,576,TA,TA,Y,222,32,0,0,0,0,Null,Null,Null,0,5,2010,WD,Normal,134800,11.811554895830454,6.803505257608338,4,1.0,900,49,1,0.375,0,0.0,0.0,0.0,254,7200,60.0,900,1.0,1.0,1,0,1.0,0,0.0,1.0,1,1,0.0,2.0,0
28,20,RL,98.0,11478,Pave,Null,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Y,0,50,0,0,0,0,Null,Null,Null,0,5,2010,WD,Normal,306000,12.631343648903034,7.4413203897176174,9,2.0,1704,1,1,0.3,1,1.0,5.303304908059076,1.0,50,11478,98.0,1704,3.0,1.0,1,1,2.0,1,2.0,1.0,1,1,2.0,2.0,0
29,20,RL,47.0,16321,Pave,Null,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Y,288,258,0,0,0,0,Null,Null,Null,0,12,2006,WD,Normal,207500,12.242891437918386,7.3783837129967145,1,1.0,1600,40,1,0.25,1,1.0,0.0,0.0,546,16321,47.0,1484,1.0,1.0,1,0,2.0,1,0.0,0.0,0,1,0.0,2.0,0
30,30,RM,60.0,6324,Pave,Null,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,1,0,1,1,Fa,4,Typ,0,Null,Detchd,1920.0,Unf,1,240,Fa,TA,Y,49,0,87,0,0,0,Null,Null,Null,0,5,2008,WD,Normal,68500,11.134603622683905,6.255750041753367,1,1.0,520,23,0,0.2,0,0.0,0.0,0.0,49,6324,60.0,520,1.0,0.0,1,0,1.0,0,-1.0,-1.0,0,0,0.0,2.0,0
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,1,0,3,1,TA,6,Typ,0,Null,Detchd,1920.0,Unf,1,250,TA,Fa,N,0,54,172,0,0,0,Null,MnPrv,Null,0,7,2008,WD,Normal,40000,10.59665973278358,7.183870715062453,1,1.0,1317,30,0,0.3333333333333333,0,0.0,0.0,0.0,54,8500,50.0,649,1.0,0.0,1,0,1.0,0,0.0,0.0,1,0,0.0,0.0,0
32,20,RL,,8544,Pave,Null,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,Null,Attchd,1966.0,Unf,1,271,TA,TA,Y,0,65,0,0,0,0,Null,MnPrv,Null,0,6,2008,WD,Normal,149350,11.914054519303123,7.113956109566034,1,1.5,1228,40,1,0.3333333333333333,0,0.0,0.0,0.0,65,8544,150.0,1228,1.0,1.0,1,0,1.0,1,1.0,1.0,0,1,0.0,2.0,0
33,20,RL,85.0,11049,Pave,Null,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,Null,Attchd,2007.0,RFn,2,484,TA,TA,Y,0,30,0,0,0,0,Null,Null,Null,0,1,2008,WD,Normal,179900,12.100161978566868,7.118826249062078,4,2.0,1234,0,1,0.3,0,0.0,0.0,1.0,30,11049,85.0,1234,3.0,1.0,1,1,2.0,1,2.0,1.0,1,1,0.0,2.0,0
